trajectory_id,trajectory_type,planning_method,num_keyframes,duration_sec,min_duration_sec,min_duration_passed,target_T,control_point_count,output_keyframe_count,start_raw_score,end_raw_score,start_smooth_score,end_smooth_score,target_raw_score,target_smooth_score,target_raw_gap,target_smooth_gap,reached_top_region,fallback_used,score_gain,num_score_drops,max_score_drop,total_negative_drop,max_xyz_step,max_yaw_step,max_pitch_step,mean_xyz_step,mean_yaw_step,mean_pitch_step,spatial_extent,quality_score
traj_001,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,4.156258,7.127104,4.170978,6.904107,7.127104,6.904107,0.0,0.0,True,True,2.733129,0,0.0,0.0,0.0,1.139241,0.0,0.0,1.139241,0.0,0.0,-1000000000.0
traj_002,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,3.975145,7.043314,4.304336,6.87365,7.043314,6.87365,0.0,0.0,True,True,2.569314,0,0.0,0.0,0.020734,0.07595,0.569621,0.020734,0.075949,0.56962,1.638014,-1000000000.0
traj_003,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,3.975145,6.937028,4.304336,6.783872,6.937028,6.783872,0.0,0.0,True,True,2.479536,0,0.0,0.0,0.021659,0.189874,0.569621,0.021658,0.189873,0.56962,1.711,-1000000000.0
traj_004,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,3.975145,6.934196,4.304336,6.793276,6.934196,6.793276,0.0,0.0,True,True,2.48894,0,0.0,0.0,0.027993,0.189874,0.569621,0.027993,0.189873,0.56962,2.211436,-1000000000.0
traj_005,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,3.776818,6.924417,4.062239,6.725563,6.924417,6.725563,0.0,0.0,True,True,2.663324,0,0.0,0.0,0.01595,0.189874,0.569621,0.015949,0.189873,0.56962,1.26,-1000000000.0
traj_006,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,3.858416,6.920951,4.208671,6.780635,6.920951,6.780635,0.0,0.0,True,True,2.571964,0,0.0,0.0,0.026038,0.189874,0.569621,0.026037,0.189873,0.56962,2.056951,-1000000000.0
traj_007,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,3.797479,6.912663,4.353181,6.754829,6.912663,6.754829,0.0,0.0,True,True,2.401648,0,0.0,0.0,0.016076,0.316456,0.569621,0.016076,0.316456,0.56962,1.27,-1000000000.0
traj_008,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,3.864715,6.908928,4.20473,6.775545,6.908928,6.775545,0.0,0.0,True,True,2.570815,0,0.0,0.0,0.028746,0.189874,0.569621,0.028745,0.189873,0.56962,2.270838,-1000000000.0
traj_009,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,4.008776,6.860954,4.411358,6.754706,6.860954,6.754706,0.0,0.0,True,True,2.343348,0,0.0,0.0,0.018111,0.569621,0.569621,0.018111,0.56962,0.56962,1.430751,-1000000000.0
traj_010,target_anchored_low_to_high,backward_beam_search_from_high_anchor,80,15.8,8.0,True,80,80,80,4.209674,6.843699,4.324455,6.719505,6.843699,6.719505,0.0,0.0,True,True,2.39505,0,0.0,0.0,0.028746,1.392406,0.0,0.028745,1.392405,0.0,2.270838,-1000000000.0
