trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_2_smoke_00001,scene_2_true_gain2p3_no_backtrack_00001,1,7,5.294007,4.201054,6.526478,2.325424,0.209495,0.443039,10.130312,7.839673,6.482929,1.20928,0,0.0,0.0,0,1.714286,90.0,0.0,69.531933,99acf416c0121fda766ba32586246b91c4f8f053,18f85c37474486278e10d56866158fec86e570c3
scene_2_smoke_00002,scene_2_true_gain2p3_no_backtrack_00001,1,8,3.897585,4.182687,6.526478,2.343791,0.123303,0.443211,10.374688,8.574688,6.390224,1.341845,0,0.0,0.0,0,1.714286,0.0,0.0,90.0,d28484768ee26a5af5b507be287efa25598e32a7,c9fd5d4f74ac6fba7af459714d09c521d79ba180
scene_2_smoke_00003,scene_2_true_gain2p3_no_backtrack_00001,1,7,4.372857,4.20964,6.526478,2.316838,0.270352,0.443048,10.297177,7.996363,6.634558,1.205259,0,0.0,0.0,0,1.702153,90.0,0.0,62.719496,cf72c85c99b8e10c95feefe76e54cc58478b1b1a,5f3408854ba0f3dfd2259ecd0814a67c40e75ddf
scene_2_smoke_00004,scene_2_true_gain2p3_no_backtrack_00002,1,7,4.428748,4.201054,6.526478,2.325424,0.270352,0.443039,10.130312,7.839673,6.482929,1.20928,0,0.0,0.0,0,1.714286,90.0,0.0,69.531933,02a54509dcf99ab221b55e388aad8e0176f2d646,af3c3214186266dbfd2286e1f79c44ebd533b23b
scene_2_smoke_00005,scene_2_true_gain2p3_no_backtrack_00002,1,8,4.528795,4.182687,6.526478,2.343791,0.123303,0.435299,10.533831,8.059779,6.390224,1.261267,0,0.0,0.0,0,1.714286,90.0,0.0,78.702623,9f02a3e5a479b6562feca1b7c54988ecc6be18af,cc8b12fc52b2917e3c622404c335efd17ee48936
scene_2_smoke_00006,scene_2_true_gain2p3_no_backtrack_00002,1,8,4.021563,4.102849,6.526478,2.423629,0.209673,0.443048,10.698254,8.847439,7.325238,1.207802,0,0.0,0.0,0,1.702153,45.0,0.0,62.719496,9cd4001d11339387dcf725d9ab992bfaf4f63c08,b108d6041acbe878532ec7d44a5a8116b313aec8
scene_2_smoke_00007,scene_2_true_gain2p3_no_backtrack_00003,1,7,4.417159,4.201054,6.526478,2.325424,0.270352,0.443039,10.334589,7.814179,6.482929,1.205347,0,0.0,0.0,0,1.714286,90.0,0.0,68.221106,63c7136ca44352b9234922c3f23ae99a80fbd4ed,7f7f061a38d2df9698dea1b7ce78ff18581c7267
scene_2_smoke_00008,scene_2_true_gain2p3_no_backtrack_00003,1,8,3.811251,4.182687,6.526478,2.343791,0.123303,0.448455,10.536669,8.384752,6.390224,1.312122,0,0.0,0.0,0,1.714286,0.0,0.0,78.702623,685f9a4b2bcbfb8ee51e0e8df5906bdb25dbade1,be49fc236f96ca6990ebb4f088f644c68d5d1f74
scene_2_smoke_00009,scene_2_true_gain2p3_no_backtrack_00003,1,8,4.470026,4.084857,6.526478,2.44162,0.193461,0.448455,10.712419,8.210133,5.985339,1.371707,0,0.0,0.0,0,1.702153,45.0,0.0,78.702623,483020f33b540135e266907489dbe02fe1147a23,dd43512c89dd995e8e03e97c0c648fd38de9c1c8
scene_2_smoke_00010,scene_2_true_gain2p3_no_backtrack_00004,1,7,3.841196,4.194014,6.526478,2.332464,0.270352,0.443048,10.490746,8.45063,7.132637,1.184783,0,0.0,0.0,0,1.714286,45.0,0.0,62.719496,5048d598fed40cdb7738743ea9f63580d1f7292b,4c6034fe93a3ec70a7c9cf8a0e16e1a9d7a686b8
scene_2_smoke_00011,scene_2_true_gain2p3_no_backtrack_00004,1,8,3.939442,4.182687,6.526478,2.343791,0.123303,0.425056,10.755705,8.666773,6.390224,1.356255,0,0.0,0.0,0,1.714286,0.0,0.0,90.0,90bdab23f74f1ef24f6a7fdea76a2b07a47f2e7e,a952a52dc5a77b815c45ab44a55d34d1da672043
scene_2_smoke_00012,scene_2_true_gain2p3_no_backtrack_00004,1,8,5.173381,4.20964,6.526478,2.316838,0.185396,0.425056,10.755176,8.425372,6.634558,1.269922,0,0.0,0.0,0,1.702153,90.0,0.0,75.255683,7a6d3675085a88bb45ca14db4b780db738a802bc,3505ac06076f30e5cf984459ec06310019737ca9
scene_2_smoke_00013,scene_2_true_gain2p3_no_backtrack_00005,1,7,4.525997,4.209934,6.526478,2.316544,0.270352,0.449323,10.55577,7.302537,5.23109,1.395988,0,0.0,0.0,0,1.714286,30.0,45.0,90.0,ac36165a4f02093a9e61da741f35aad9cc0575dc,4da5a770d2d08cd4b24f79933ff36639494f862d
scene_2_smoke_00014,scene_2_true_gain2p3_no_backtrack_00005,1,8,4.082968,4.106986,6.526478,2.419492,0.23349,0.443039,10.823169,8.982531,7.509708,1.196123,0,0.0,0.0,0,1.714286,45.0,0.0,69.531933,7c5f1260c76c7d65ac8496af4d5e1526812b78fc,d5b1665e6c5ad7588d85fd7dbbc639330d679bdc
scene_2_smoke_00015,scene_2_true_gain2p3_no_backtrack_00005,1,7,4.491814,4.20964,6.526478,2.316838,0.270352,0.425056,10.803164,8.258068,6.634558,1.244705,0,0.0,0.0,0,1.702153,90.0,0.0,69.160961,72bf0bcdd02a4cbf943e3b8617b3858b977a9196,3c61368c463432473e7532ea154f4a897cf6fe47
